"year","pop"
"2000",18128073
"2001",17213337
"2002",15240696
"2003",13774496
"2004",16907972
"2005",18081068
"2006",29109978
"2007",28511025
"2008",32116358
"2009",33569637
"2010",30528390
"2011",31153120
"2012",33187199
"2013",40266946
"2014",50574669
"2015",56685746
